          #r                      g1                      g12
  0.1080000000000000E-02  0.4562991816562397E+01  0.1828291378998923E+00
  0.1090000000000000E-02  0.4562868982605853E+01  0.1828292768077961E+00
  0.1100000000000000E-02  0.4562745141190476E+01  0.1828294169909258E+00
  0.1110000000000000E-02  0.4562620295545689E+01  0.1828295584489812E+00
  0.1120000000000000E-02  0.4562494448919385E+01  0.1828297011818503E+00
  0.1130000000000000E-02  0.4562367604582552E+01  0.1828298451891849E+00
  0.1140000000000000E-02  0.4562239765821952E+01  0.1828299904711261E+00
  0.1150000000000000E-02  0.4562110935948851E+01  0.1828301370274250E+00
  0.1160000000000000E-02  0.4561981118291665E+01  0.1828302848581753E+00
  0.1170000000000000E-02  0.4561850316198625E+01  0.1828304339626504E+00
  0.1180000000000000E-02  0.4561718533037715E+01  0.1828305843410920E+00
  0.1190000000000000E-02  0.4561585772196655E+01  0.1828307359933946E+00
  0.1200000000000000E-02  0.4561452037080102E+01  0.1828308889192633E+00
  0.1210000000000000E-02  0.4561317331111563E+01  0.1828310431185856E+00
  0.1220000000000000E-02  0.4561181657734953E+01  0.1828311985910786E+00
  0.1230000000000000E-02  0.4561045020409580E+01  0.1828313553367765E+00
  0.1240000000000000E-02  0.4560907422615254E+01  0.1828315133557231E+00
  0.1250000000000000E-02  0.4560768867847358E+01  0.1828316726471317E+00
  0.1260000000000000E-02  0.4560629359620667E+01  0.1828318332113680E+00
  0.1270000000000000E-02  0.4560488901464804E+01  0.1828319950479832E+00
  0.1280000000000000E-02  0.4560347496926956E+01  0.1828321581569531E+00
  0.1290000000000000E-02  0.4560205149573330E+01  0.1828323225380905E+00
  0.1300000000000000E-02  0.4560061862984440E+01  0.1828324881912824E+00
  0.1310000000000000E-02  0.4559917640756926E+01  0.1828326551161960E+00
  0.1320000000000000E-02  0.4559772486505058E+01  0.1828328233129183E+00
  0.1330000000000000E-02  0.4559626403856247E+01  0.1828329927811053E+00
  0.1340000000000000E-02  0.4559479396456093E+01  0.1828331635204439E+00
  0.1350000000000000E-02  0.4559331467966099E+01  0.1828333355311210E+00
  0.1360000000000000E-02  0.4559182622058330E+01  0.1828335088125363E+00
  0.1370000000000000E-02  0.4559032862424952E+01  0.1828336833648745E+00
  0.1380000000000000E-02  0.4558882192769294E+01  0.1828338591878520E+00
  0.1390000000000000E-02  0.4558730616810152E+01  0.1828340362811751E+00
  0.1400000000000000E-02  0.4558578138280320E+01  0.1828342146448859E+00
  0.1410000000000000E-02  0.4558424760927205E+01  0.1828343942786871E+00
  0.1420000000000000E-02  0.4558270488510648E+01  0.1828345751824045E+00
  0.1430000000000000E-02  0.4558115324804561E+01  0.1828347573555818E+00
  0.1440000000000000E-02  0.4557959273596524E+01  0.1828349407986446E+00
  0.1450000000000000E-02  0.4557802338686017E+01  0.1828351255106947E+00
  0.1460000000000000E-02  0.4557644523884676E+01  0.1828353114918618E+00
  0.1470000000000000E-02  0.4557485833018622E+01  0.1828354987423720E+00
  0.1480000000000000E-02  0.4557326269924857E+01  0.1828356872614852E+00
  0.1490000000000000E-02  0.4557165838451515E+01  0.1828358770492002E+00
  0.1500000000000000E-02  0.4557004542460509E+01  0.1828360681052027E+00
  0.1510000000000000E-02  0.4556842385823813E+01  0.1828362604294593E+00
  0.1520000000000000E-02  0.4556679372424791E+01  0.1828364540218796E+00
  0.1530000000000000E-02  0.4556515506156998E+01  0.1828366488819366E+00
  0.1540000000000000E-02  0.4556350790926724E+01  0.1828368450096889E+00
  0.1550000000000000E-02  0.4556185230648732E+01  0.1828370424047895E+00
  0.1560000000000000E-02  0.4556018829249624E+01  0.1828372410670678E+00
  0.1570000000000000E-02  0.4555851590664413E+01  0.1828374409963711E+00
  0.1580000000000000E-02  0.4555683518839341E+01  0.1828376421926462E+00
  0.1590000000000000E-02  0.4555514617729315E+01  0.1828378446555146E+00
  0.1600000000000000E-02  0.4555344891297935E+01  0.1828380483846500E+00
  0.1610000000000000E-02  0.4555174343519927E+01  0.1828382533799525E+00
  0.1620000000000000E-02  0.4555002978376375E+01  0.1828384596413587E+00
  0.1630000000000000E-02  0.4554830799858341E+01  0.1828386671684346E+00
  0.1640000000000000E-02  0.4554657811964304E+01  0.1828388759612084E+00
  0.1650000000000000E-02  0.4554484018701132E+01  0.1828390860192357E+00
  0.1660000000000000E-02  0.4554309424084551E+01  0.1828392973425762E+00
  0.1670000000000000E-02  0.4554134032135532E+01  0.1828395099307093E+00
  0.1680000000000000E-02  0.4553957846885609E+01  0.1828397237834594E+00
  0.1690000000000000E-02  0.4553780872369970E+01  0.1828399389007890E+00
  0.1700000000000000E-02  0.4553603112632406E+01  0.1828401552823718E+00
  0.1710000000000000E-02  0.4553424571723501E+01  0.1828403729280369E+00
  0.1720000000000000E-02  0.4553245253699051E+01  0.1828405918377639E+00
  0.1730000000000000E-02  0.4553065162621991E+01  0.1828408120108775E+00
  0.1740000000000000E-02  0.4552884302559690E+01  0.1828410334475539E+00
  0.1750000000000000E-02  0.4552702677588272E+01  0.1828412561471495E+00
  0.1760000000000000E-02  0.4552520291785555E+01  0.1828414801100688E+00
  0.1770000000000000E-02  0.4552337149236109E+01  0.1828417053351424E+00
  0.1780000000000000E-02  0.4552153254030131E+01  0.1828419318232974E+00
  0.1790000000000000E-02  0.4551968610261748E+01  0.1828421595735244E+00
  0.1800000000000000E-02  0.4551783222028646E+01  0.1828423885858417E+00
  0.1810000000000000E-02  0.4551597093433922E+01  0.1828426188597530E+00
  0.1820000000000000E-02  0.4551410228584539E+01  0.1828428503953550E+00
  0.1830000000000000E-02  0.4551222631589440E+01  0.1828430831922473E+00
  0.1840000000000000E-02  0.4551034306564375E+01  0.1828433172504920E+00
  0.1850000000000000E-02  0.4550845257626302E+01  0.1828435525693729E+00
  0.1860000000000000E-02  0.4550655488893018E+01  0.1828437891488282E+00
  0.1870000000000000E-02  0.4550465004489287E+01  0.1828440269887395E+00
  0.1880000000000000E-02  0.4550273808540108E+01  0.1828442660889985E+00
  0.1890000000000000E-02  0.4550081905173339E+01  0.1828445064489195E+00
  0.1900000000000000E-02  0.4549889298517328E+01  0.1828447480685534E+00
  0.1910000000000000E-02  0.4549695992705793E+01  0.1828449909477848E+00
  0.1920000000000000E-02  0.4549501991870126E+01  0.1828452350858528E+00
  0.1930000000000000E-02  0.4549307300145339E+01  0.1828454804831944E+00
  0.1940000000000000E-02  0.4549111921667588E+01  0.1828457271390403E+00
  0.1950000000000000E-02  0.4548915860571540E+01  0.1828459750533581E+00
  0.1960000000000000E-02  0.4548719120996300E+01  0.1828462242259447E+00
  0.1970000000000000E-02  0.4548521707079298E+01  0.1828464746563127E+00
  0.1980000000000000E-02  0.4548323622957359E+01  0.1828467263443810E+00
  0.1990000000000000E-02  0.4548124872769317E+01  0.1828469792901751E+00
  0.2000000000000000E-02  0.4547925460652929E+01  0.1828472334929749E+00
  0.5992000000000000E-02  0.4447804206365158E+01  0.1830451214342149E+00
  0.9984000000000000E-02  0.4343836037641831E+01  0.1834105619865423E+00
  0.1397600000000000E-01  0.4241485683042900E+01  0.1838924969156543E+00
  0.1796800000000000E-01  0.4142188457760525E+01  0.1844333035362495E+00
  0.2196000000000000E-01  0.4044694708700699E+01  0.1849825514478312E+00
  0.2595200000000000E-01  0.3949217213164450E+01  0.1855054862786888E+00
  0.2994400000000000E-01  0.3856154107478493E+01  0.1859846590029092E+00
  0.3393600000000000E-01  0.3765522088147236E+01  0.1864162197899362E+00
  0.3792800000000000E-01  0.3677175873617017E+01  0.1868039611097080E+00
  0.4192000000000000E-01  0.3590986362404261E+01  0.1871539235080556E+00
  0.4591200000000000E-01  0.3506872314469533E+01  0.1874710361486832E+00
  0.4990400000000000E-01  0.3424778593502656E+01  0.1877578871191131E+00
  0.5389600000000000E-01  0.3344656310807248E+01  0.1880149312127397E+00
  0.5788800000000000E-01  0.3266455947540436E+01  0.1882413052497611E+00
  0.6188000000000000E-01  0.3190128566383672E+01  0.1884356623317665E+00
  0.6587200000000000E-01  0.3115628874328271E+01  0.1885967569641096E+00
  0.6986400000000000E-01  0.3042916681076188E+01  0.1887237435129035E+00
  0.7385600000000000E-01  0.2971956096488422E+01  0.1888162574162612E+00
  0.7784800000000000E-01  0.2902713366171904E+01  0.1888743687884388E+00
  0.8184000000000000E-01  0.2835154564047959E+01  0.1888984793191503E+00
  0.8583200000000001E-01  0.2769243977038201E+01  0.1888892070144651E+00
  0.8982400000000000E-01  0.2704943468238824E+01  0.1888472823752529E+00
  0.9381600000000000E-01  0.2642212696457714E+01  0.1887734662411535E+00
  0.9780800000000001E-01  0.2581009879992907E+01  0.1886684918627933E+00
  0.1018000000000000E+00  0.2521292774865699E+01  0.1885330296834405E+00
  0.1057920000000000E+00  0.2463019612752454E+01  0.1883676712498623E+00
  0.1097840000000000E+00  0.2406149846202422E+01  0.1881729278472921E+00
  0.1137760000000000E+00  0.2350644640293164E+01  0.1879492393783178E+00
  0.1177680000000000E+00  0.2296467115146489E+01  0.1876969894093333E+00
  0.1217600000000000E+00  0.2243582381676613E+01  0.1874165229841314E+00
  0.1257520000000000E+00  0.2191957428580283E+01  0.1871081645996521E+00
  0.1297440000000000E+00  0.2141560919114679E+01  0.1867722345375515E+00
