         #eta                 varrho1                 varrho2
  0.8600000000000000E-03  0.9163960028207106E-02  0.2710419874872779E+01
  0.8700000000000000E-03  0.9163960003767955E-02  0.2710419208842922E+01
  0.8800000000000000E-03  0.9163959979325936E-02  0.2710418535115129E+01
  0.8899999999999999E-03  0.9163959954470786E-02  0.2710417853686911E+01
  0.9000000000000000E-03  0.9163959929246438E-02  0.2710417164559592E+01
  0.9100000000000000E-03  0.9163959903906003E-02  0.2710416467732557E+01
  0.9200000000000000E-03  0.9163959878196222E-02  0.2710415763205352E+01
  0.9300000000000001E-03  0.9163959852142751E-02  0.2710415050979748E+01
  0.9400000000000000E-03  0.9163959826073990E-02  0.2710414331053310E+01
  0.9500000000000000E-03  0.9163959799408832E-02  0.2710413603428170E+01
  0.9600000000000000E-03  0.9163959772570495E-02  0.2710412868103504E+01
  0.9700000000000001E-03  0.9163959745419930E-02  0.2710412125078998E+01
  0.9800000000000000E-03  0.9163959718152970E-02  0.2710411374354720E+01
  0.9900000000000000E-03  0.9163959690346477E-02  0.2710410615931361E+01
  0.1000000000000000E-02  0.9163959662480514E-02  0.2710409849808192E+01
  0.1010000000000000E-02  0.9163959634245374E-02  0.2710409075986481E+01
  0.1020000000000000E-02  0.9163959605780318E-02  0.2710408294464031E+01
  0.1030000000000000E-02  0.9163959576889185E-02  0.2710407505243126E+01
  0.1040000000000000E-02  0.9163959547812267E-02  0.2710406708322230E+01
  0.1050000000000000E-02  0.9163959518435950E-02  0.2710405903701646E+01
  0.1060000000000000E-02  0.9163959488943146E-02  0.2710405091381375E+01
  0.1070000000000000E-02  0.9163959458967533E-02  0.2710404271362743E+01
  0.1080000000000000E-02  0.9163959428806155E-02  0.2710403443643732E+01
  0.1090000000000000E-02  0.9163959398288311E-02  0.2710402608226104E+01
  0.1100000000000000E-02  0.9163959367571955E-02  0.2710401765108287E+01
  0.1110000000000000E-02  0.9163959336467657E-02  0.2710400914291957E+01
  0.1120000000000000E-02  0.9163959305152382E-02  0.2710400055775485E+01
  0.1130000000000000E-02  0.9163959273550029E-02  0.2710399189559212E+01
  0.1140000000000000E-02  0.9163959241704961E-02  0.2710398315645032E+01
  0.1150000000000000E-02  0.9163959209434079E-02  0.2710397434030540E+01
  0.1160000000000000E-02  0.9163959177103706E-02  0.2710396544715906E+01
  0.1170000000000000E-02  0.9163959144290530E-02  0.2710395647703071E+01
  0.1180000000000000E-02  0.9163959111291548E-02  0.2710394742990294E+01
  0.1190000000000000E-02  0.9163959077992832E-02  0.2710393830578786E+01
  0.1200000000000000E-02  0.9163959044394883E-02  0.2710392910467400E+01
  0.1210000000000000E-02  0.9163959010553896E-02  0.2710391982656849E+01
  0.1220000000000000E-02  0.9163958976413518E-02  0.2710391047146828E+01
  0.1230000000000000E-02  0.9163958942017866E-02  0.2710390103938219E+01
  0.1240000000000000E-02  0.9163958907448835E-02  0.2710389153029013E+01
  0.1250000000000000E-02  0.9163958872340325E-02  0.2710388194421000E+01
  0.1260000000000000E-02  0.9163958837102817E-02  0.2710387228114286E+01
  0.1270000000000000E-02  0.9163958801508856E-02  0.2710386254107618E+01
  0.1280000000000000E-02  0.9163958765842698E-02  0.2710385272401927E+01
  0.1290000000000000E-02  0.9163958729706529E-02  0.2710384282996908E+01
  0.1300000000000000E-02  0.9163958693441322E-02  0.2710383285893025E+01
  0.1310000000000000E-02  0.9163958656579724E-02  0.2710382281089920E+01
  0.1320000000000000E-02  0.9163958619702770E-02  0.2710381268587213E+01
  0.1330000000000000E-02  0.9163958582469430E-02  0.2710380248384818E+01
  0.1340000000000000E-02  0.9163958544936478E-02  0.2710379220484592E+01
  0.1350000000000000E-02  0.9163958507160822E-02  0.2710378184883448E+01
  0.1360000000000000E-02  0.9163958469129900E-02  0.2710377141584568E+01
  0.1370000000000000E-02  0.9163958430685588E-02  0.2710376090585716E+01
  0.1380000000000000E-02  0.9163958392125027E-02  0.2710375031887528E+01
  0.1390000000000000E-02  0.9163958353195396E-02  0.2710373965490542E+01
  0.1400000000000000E-02  0.9163958314124237E-02  0.2710372891394115E+01
  0.1410000000000000E-02  0.9163958274481746E-02  0.2710371809599413E+01
  0.1420000000000000E-02  0.9163958234868076E-02  0.2710370720104483E+01
  0.1430000000000000E-02  0.9163958194841355E-02  0.2710369622910709E+01
  0.1440000000000000E-02  0.9163958154401214E-02  0.2710368518017541E+01
  0.1450000000000000E-02  0.9163958114002599E-02  0.2710367405425927E+01
  0.1460000000000000E-02  0.9163958073007739E-02  0.2710366285135393E+01
  0.1470000000000000E-02  0.9163958031940748E-02  0.2710365157145418E+01
  0.1480000000000000E-02  0.9163957990403329E-02  0.2710364021455869E+01
  0.1490000000000000E-02  0.9163957948554100E-02  0.2710362878068224E+01
  0.1500000000000000E-02  0.9163957906701967E-02  0.2710361726980759E+01
  0.1510000000000000E-02  0.9163957864411345E-02  0.2710360568194650E+01
  0.1520000000000000E-02  0.9163957821833980E-02  0.2710359401709638E+01
  0.1530000000000000E-02  0.9163957779013677E-02  0.2710358227524741E+01
  0.1540000000000000E-02  0.9163957735938057E-02  0.2710357045641511E+01
  0.1550000000000000E-02  0.9163957692562823E-02  0.2710355856059815E+01
  0.1560000000000000E-02  0.9163957648761781E-02  0.2710354658778110E+01
  0.1570000000000000E-02  0.9163957604787647E-02  0.2710353453797391E+01
  0.1580000000000000E-02  0.9163957560545256E-02  0.2710352241118879E+01
  0.1590000000000000E-02  0.9163957516016235E-02  0.2710351020740148E+01
  0.1600000000000000E-02  0.9163957471301276E-02  0.2710349792663796E+01
  0.1610000000000000E-02  0.9163957426217189E-02  0.2710348556887169E+01
  0.1620000000000000E-02  0.9163957380877677E-02  0.2710347313412560E+01
  0.1630000000000000E-02  0.9163957335137689E-02  0.2710346062238803E+01
  0.1640000000000000E-02  0.9163957289255949E-02  0.2710344803365880E+01
  0.1650000000000000E-02  0.9163957243062369E-02  0.2710343536793867E+01
  0.1660000000000000E-02  0.9163957196524609E-02  0.2710342262523464E+01
  0.1670000000000000E-02  0.9163957149662120E-02  0.2710340980553999E+01
  0.1680000000000000E-02  0.9163957102740131E-02  0.2710339690885339E+01
  0.1690000000000000E-02  0.9163957055335348E-02  0.2710338393518498E+01
  0.1700000000000000E-02  0.9163957007687970E-02  0.2710337088452064E+01
  0.1710000000000000E-02  0.9163956959911401E-02  0.2710335775687639E+01
  0.1720000000000000E-02  0.9163956911696587E-02  0.2710334455224265E+01
  0.1730000000000000E-02  0.9163956863308207E-02  0.2710333127061593E+01
  0.1740000000000000E-02  0.9163956814494195E-02  0.2710331791199697E+01
