         #eta                     f1                      f12
  0.2595200000000000E-01  0.4500960429361767E-02  0.1889595293391884E-01
  0.2994400000000000E-01  0.4500847337728708E-02  0.1890210425538097E-01
  0.3393600000000000E-01  0.4500718095234335E-02  0.1890912573327845E-01
  0.3792800000000000E-01  0.4500572702917927E-02  0.1891701398799069E-01
  0.4192000000000000E-01  0.4500411162099279E-02  0.1892576522352292E-01
  0.4591200000000000E-01  0.4500233474102185E-02  0.1893537523120618E-01
  0.4990400000000000E-01  0.4500039640431626E-02  0.1894583939153138E-01
  0.5389600000000000E-01  0.4499829662763448E-02  0.1895715267669621E-01
  0.5788800000000000E-01  0.4499603542837479E-02  0.1896930965457585E-01
  0.6188000000000000E-01  0.4499361282690721E-02  0.1898230449210321E-01
  0.6587200000000000E-01  0.4499102884242934E-02  0.1899613095802029E-01
  0.6986400000000000E-01  0.4498828349788282E-02  0.1901078242731365E-01
  0.7385600000000000E-01  0.4498537681657015E-02  0.1902625188510987E-01
  0.7784800000000000E-01  0.4498230882283701E-02  0.1904253193138746E-01
  0.8184000000000000E-01  0.4497907954328547E-02  0.1905961478537262E-01
  0.8583200000000001E-01  0.4497568900532618E-02  0.1907749228917321E-01
  0.8982400000000000E-01  0.4497213723811251E-02  0.1909615591575757E-01
  0.9381600000000000E-01  0.4496842427139065E-02  0.1911559677102526E-01
  0.9780800000000001E-01  0.4496455013697775E-02  0.1913580559995598E-01
  0.1018000000000000E+00  0.4496051486846102E-02  0.1915677279448828E-01
  0.1057920000000000E+00  0.4495631849998794E-02  0.1917848839525327E-01
  0.1097840000000000E+00  0.4495196106758415E-02  0.1920094210301778E-01
  0.1137760000000000E+00  0.4494744260824486E-02  0.1922412327980953E-01
  0.1177680000000000E+00  0.4494276316041490E-02  0.1924802095787115E-01
  0.1217600000000000E+00  0.4493792276445789E-02  0.1927262384634772E-01
  0.1257520000000000E+00  0.4493292146167486E-02  0.1929792033695010E-01
  0.1297440000000000E+00  0.4492775929523722E-02  0.1932389851267950E-01
  0.1337360000000000E+00  0.4492243630872084E-02  0.1935054615261489E-01
  0.1377280000000000E+00  0.4491695254838945E-02  0.1937785074075797E-01
  0.1417200000000000E+00  0.4491130806045203E-02  0.1940579947388551E-01
  0.1457120000000000E+00  0.4490550289430202E-02  0.1943437926675366E-01
  0.1497040000000000E+00  0.4489953709873262E-02  0.1946357676310647E-01
  0.1536960000000000E+00  0.4489341072565156E-02  0.1949337834063340E-01
  0.1576880000000000E+00  0.4488712382755759E-02  0.1952377012054226E-01
  0.1616800000000000E+00  0.4488067645790794E-02  0.1955473797521797E-01
  0.1656720000000000E+00  0.4487406867337580E-02  0.1958626753571805E-01
  0.1696640000000000E+00  0.4486730052890575E-02  0.1961834420203449E-01
  0.1736560000000000E+00  0.4486037208445833E-02  0.1965095314903180E-01
  0.1776480000000000E+00  0.4485328339887388E-02  0.1968407933645633E-01
  0.1816400000000000E+00  0.4484603453332754E-02  0.1971770751764993E-01
  0.1856320000000000E+00  0.4483862555045108E-02  0.1975182224670302E-01
  0.1896240000000000E+00  0.4483105651409487E-02  0.1978640788917385E-01
  0.1936160000000000E+00  0.4482332748955893E-02  0.1982144862943421E-01
  0.1976080000000000E+00  0.4481543854348365E-02  0.1985692847970559E-01
  0.2016000000000000E+00  0.4480738974401451E-02  0.1989283128997036E-01
  0.2055920000000000E+00  0.4479918116095050E-02  0.1992914075483595E-01
  0.2095840000000000E+00  0.4479081286479929E-02  0.1996584042539966E-01
  0.2135760000000000E+00  0.4478228492893625E-02  0.2000291371527766E-01
  0.2175680000000000E+00  0.4477359742625382E-02  0.2004034391150859E-01
  0.2215600000000000E+00  0.4476475043275641E-02  0.2007811418292560E-01
  0.2255520000000000E+00  0.4475574402439324E-02  0.2011620758946586E-01
  0.2295440000000000E+00  0.4474657828024327E-02  0.2015460709126253E-01
  0.2335360000000000E+00  0.4473725327979554E-02  0.2019329555641510E-01
  0.2375280000000000E+00  0.4472776910327140E-02  0.2023225577272851E-01
  0.2415200000000000E+00  0.4471812583416668E-02  0.2027147045342526E-01
  0.2455120000000000E+00  0.4470832355601899E-02  0.2031092224864232E-01
  0.2495040000000000E+00  0.4469836235380331E-02  0.2035059375339824E-01
  0.2534960000000000E+00  0.4468824231513661E-02  0.2039046751615088E-01
  0.2574880000000000E+00  0.4467796352759253E-02  0.2043052604849427E-01
  0.2614800000000000E+00  0.4466752608137892E-02  0.2047075183352727E-01
  0.2654720000000000E+00  0.4465693006801367E-02  0.2051112733394437E-01
  0.2694640000000000E+00  0.4464617557927042E-02  0.2055163500258657E-01
  0.2734560000000000E+00  0.4463526270977088E-02  0.2059225728876897E-01
  0.2774480000000000E+00  0.4462419155517002E-02  0.2063297664834159E-01
  0.2814400000000000E+00  0.4461296221237920E-02  0.2067377555251459E-01
  0.2854320000000000E+00  0.4460157478006506E-02  0.2071463649377018E-01
  0.2894240000000000E+00  0.4459002935832864E-02  0.2075554199763507E-01
  0.2934160000000000E+00  0.4457832604804997E-02  0.2079647462771280E-01
  0.2974080000000000E+00  0.4456646495294462E-02  0.2083741699576732E-01
  0.3014000000000000E+00  0.4455444617683546E-02  0.2087835176980753E-01
  0.3053920000000000E+00  0.4454226982606261E-02  0.2091926167957607E-01
  0.3093840000000000E+00  0.4452993600771856E-02  0.2096012952791708E-01
  0.3133760000000000E+00  0.4451744483077576E-02  0.2100093819548920E-01
  0.3173680000000000E+00  0.4450479640549047E-02  0.2104167064887289E-01
  0.3213600000000000E+00  0.4449199084394968E-02  0.2108230994955207E-01
  0.3253520000000000E+00  0.4447902825930032E-02  0.2112283925971292E-01
  0.3293440000000000E+00  0.4446590876685456E-02  0.2116324184947960E-01
  0.3333360000000000E+00  0.4445263248219329E-02  0.2120350110356754E-01
  0.3373280000000000E+00  0.4443919952352012E-02  0.2124360052978573E-01
  0.3413200000000000E+00  0.4442561001038940E-02  0.2128352376467298E-01
  0.3453120000000000E+00  0.4441186406328216E-02  0.2132325457912036E-01
  0.3493040000000000E+00  0.4439796180499685E-02  0.2136277688644024E-01
  0.3532960000000000E+00  0.4438390335897806E-02  0.2140207474814626E-01
  0.3572880000000000E+00  0.4436968885086563E-02  0.2144113237914095E-01
  0.3612800000000000E+00  0.4435531840788228E-02  0.2147993415403142E-01
  0.3652720000000000E+00  0.4434079215733393E-02  0.2151846461498826E-01
  0.3692640000000000E+00  0.4432611023051851E-02  0.2155670847381226E-01
  0.3732560000000000E+00  0.4431127275813999E-02  0.2159465061999584E-01
  0.3772480000000000E+00  0.4429627987363090E-02  0.2163227612514877E-01
  0.3812400000000000E+00  0.4428113171088155E-02  0.2166957024792970E-01
  0.3852320000000000E+00  0.4426582840652708E-02  0.2170651843960488E-01
  0.3892240000000000E+00  0.4425037009804382E-02  0.2174310634808300E-01
  0.3932160000000000E+00  0.4423475692417707E-02  0.2177931982314655E-01
  0.3972080000000000E+00  0.4421898902618533E-02  0.2181514492123116E-01
  0.4012000000000000E+00  0.4420306654621934E-02  0.2185056790758385E-01
  0.4051920000000000E+00  0.4418698962768993E-02  0.2188557526394789E-01
  0.4091840000000000E+00  0.4417075841630980E-02  0.2192015368924046E-01
  0.4131760000000000E+00  0.4415437305843410E-02  0.2195429010409707E-01
  0.4171680000000000E+00  0.4413783370294004E-02  0.2198797165611466E-01
  0.4211600000000000E+00  0.4412114049977693E-02  0.2202118572134674E-01
  0.4251520000000000E+00  0.4410429360053499E-02  0.2205391990847409E-01
  0.4291440000000000E+00  0.4408729315758124E-02  0.2208616206094656E-01
  0.4331360000000000E+00  0.4407013932655672E-02  0.2211790026108629E-01
  0.4371280000000000E+00  0.4405283226302441E-02  0.2214912283213732E-01
  0.4411200000000000E+00  0.4403537212562185E-02  0.2217981834122629E-01
  0.4451120000000000E+00  0.4401775907240002E-02  0.2220997560055353E-01
  0.4491040000000000E+00  0.4399999326552884E-02  0.2223958367179309E-01
  0.4530960000000000E+00  0.4398207486682367E-02  0.2226863186556123E-01
  0.4570880000000000E+00  0.4396400404051130E-02  0.2229710974435946E-01
  0.4610800000000000E+00  0.4394578095280728E-02  0.2232500712573038E-01
  0.4650720000000000E+00  0.4392740577028320E-02  0.2235231408197384E-01
  0.4690640000000000E+00  0.4390887866200566E-02  0.2237902094133726E-01
  0.4730560000000000E+00  0.4389019979855339E-02  0.2240511829089501E-01
  0.4770480000000000E+00  0.4387136935203761E-02  0.2243059697635512E-01
  0.4810400000000000E+00  0.4385238749566052E-02  0.2245544810281082E-01
  0.4850320000000000E+00  0.4383325440494949E-02  0.2247966303690433E-01
  0.4890240000000000E+00  0.4381397025687924E-02  0.2250323340589248E-01
  0.4930160000000000E+00  0.4379453522957617E-02  0.2252615109864335E-01
  0.4970080000000000E+00  0.4377494950330536E-02  0.2254840826592693E-01
  0.5010000000000000E+00  0.4375521325922523E-02  0.2256999732120657E-01
  0.5049920000000000E+00  0.4373532668118056E-02  0.2259091093999007E-01
  0.5089840000000000E+00  0.4371528995366340E-02  0.2261114205871998E-01
  0.5129760000000000E+00  0.4369510326347618E-02  0.2263068387678135E-01
  0.5169680000000000E+00  0.4367476679827472E-02  0.2264952985459131E-01
  0.5209600000000000E+00  0.4365428074789383E-02  0.2266767371283455E-01
  0.5249520000000000E+00  0.4363364530370673E-02  0.2268510943347531E-01
  0.5289440000000000E+00  0.4361286065911019E-02  0.2270183125657381E-01
  0.5329360000000000E+00  0.4359192700744881E-02  0.2271783368128766E-01
  0.5369280000000000E+00  0.4357084454592671E-02  0.2273311146449493E-01
  0.5409200000000000E+00  0.4354961347179979E-02  0.2274765961878559E-01
  0.5449120000000000E+00  0.4352823398502514E-02  0.2276147341178884E-01
  0.5489039999999999E+00  0.4350670628622007E-02  0.2277454836491244E-01
  0.5528960000000001E+00  0.4348503057865790E-02  0.2278688025193880E-01
  0.5568880000000000E+00  0.4346320706587692E-02  0.2279846509660888E-01
  0.5608800000000000E+00  0.4344123595416545E-02  0.2280929917244127E-01
  0.5648720000000000E+00  0.4341911745125808E-02  0.2281937899888161E-01
  0.5688640000000000E+00  0.4339685176640000E-02  0.2282870134124708E-01
  0.5728560000000000E+00  0.4337443911035706E-02  0.2283726320810220E-01
  0.5768480000000000E+00  0.4335187969564706E-02  0.2284506184905514E-01
  0.5808400000000000E+00  0.4332917373684501E-02  0.2285209475209797E-01
  0.5848320000000000E+00  0.4330632144886752E-02  0.2285835964266932E-01
  0.5888240000000000E+00  0.4328332305029529E-02  0.2286385448019697E-01
  0.5928160000000000E+00  0.4326017875914245E-02  0.2286857745634448E-01
  0.5968080000000000E+00  0.4323688879699213E-02  0.2287252699188628E-01
  0.6008000000000000E+00  0.4321345338603437E-02  0.2287570173494665E-01
  0.6047920000000000E+00  0.4318987275033881E-02  0.2287810055768176E-01
  0.6087840000000000E+00  0.4316614711523004E-02  0.2287972255433350E-01
