          #r                      rho1                    rho2
  0.1620000000000000E-02  0.7077286826472576E+00  0.4555460187680505E+01
  0.1630000000000000E-02  0.5676433203462179E+00  0.4555289191303321E+01
  0.1640000000000000E-02  0.4553781870076654E+00  0.4555117388781611E+01
  0.1650000000000000E-02  0.3654073858753319E+00  0.4554944784059761E+01
  0.1660000000000000E-02  0.2932989879882970E+00  0.4554771381092347E+01
  0.1670000000000000E-02  0.2354999646650413E+00  0.4554597183839822E+01
  0.1680000000000000E-02  0.1891629491045079E+00  0.4554422196273156E+01
  0.1690000000000000E-02  0.1520068097253231E+00  0.4554246422367190E+01
  0.1700000000000000E-02  0.1222045260752410E+00  0.4554069866104456E+01
  0.1710000000000000E-02  0.9829308913285020E-01  0.4553892531473172E+01
  0.1720000000000000E-02  0.7910115112532068E-01  0.4553714422471519E+01
  0.1730000000000000E-02  0.6369096658260184E-01  0.4553535543100367E+01
  0.1740000000000000E-02  0.5131183008763168E-01  0.4553355897367164E+01
  0.1750000000000000E-02  0.4136275496823895E-01  0.4553175489285991E+01
  0.1760000000000000E-02  0.3336257397422026E-01  0.4552994322875198E+01
  0.1770000000000000E-02  0.2692599665942419E-01  0.4552812402158973E+01
  0.1780000000000000E-02  0.2174444421774364E-01  0.4552629731166395E+01
  0.1790000000000000E-02  0.1757071357438237E-01  0.4552446313930848E+01
  0.1800000000000000E-02  0.1420670896799397E-01  0.4552262154491250E+01
  0.1810000000000000E-02  0.1149362952997665E-01  0.4552077256890115E+01
  0.1820000000000000E-02  0.9304122364647973E-02  0.4551891625172876E+01
  0.1830000000000000E-02  0.7536007965146903E-02  0.4551705263391573E+01
  0.1840000000000000E-02  0.6107263020677113E-02  0.4551518175598484E+01
  0.1850000000000000E-02  0.4952008477850983E-02  0.4551330365851423E+01
  0.1860000000000000E-02  0.4017301107844293E-02  0.4551141838211241E+01
  0.1870000000000000E-02  0.3260567225756130E-02  0.4550952596739454E+01
  0.1880000000000000E-02  0.2647549567935462E-02  0.4550762645503444E+01
  0.1890000000000000E-02  0.2150664238274327E-02  0.4550571988570681E+01
  0.1900000000000000E-02  0.1747685360334327E-02  0.4550380630012138E+01
  0.1910000000000000E-02  0.1420691645202454E-02  0.4550188573898211E+01
  0.1920000000000000E-02  0.1155222330896620E-02  0.4549995824305744E+01
  0.1930000000000000E-02  0.9396005314869242E-03  0.4549802385308567E+01
  0.1940000000000000E-02  0.7643904855124077E-03  0.4549608260983486E+01
  0.1950000000000000E-02  0.6219619409435231E-03  0.4549413455408948E+01
  0.1960000000000000E-02  0.5061403001740852E-03  0.4549217972663243E+01
  0.1970000000000000E-02  0.4119254473892183E-03  0.4549021816825928E+01
  0.1980000000000000E-02  0.3352656114105107E-03  0.4548824991976336E+01
  0.1990000000000000E-02  0.2728753550627260E-03  0.4548627502193217E+01
  0.2000000000000000E-02  0.2220889672944290E-03  0.4548429351558913E+01
  0.5992000000000000E-02  0.4029786832627640E-69  0.4448597394596874E+01
  0.9984000000000000E-02  0.3116218057526087-200  0.4344661718347656E+01
  0.1397600000000000E-01  0.0000000000000000E+00  0.4242312178641630E+01
  0.1796800000000000E-01  0.0000000000000000E+00  0.4143000130359662E+01
  0.2196000000000000E-01  0.0000000000000000E+00  0.4045488561088433E+01
  0.2595200000000000E-01  0.0000000000000000E+00  0.3949991455209727E+01
  0.2994400000000000E-01  0.0000000000000000E+00  0.3856907532002168E+01
  0.3393600000000000E-01  0.0000000000000000E+00  0.3766254215702759E+01
  0.3792800000000000E-01  0.0000000000000000E+00  0.3677886665211526E+01
  0.4192000000000000E-01  0.0000000000000000E+00  0.3591675989674172E+01
  0.4591200000000000E-01  0.0000000000000000E+00  0.3507541060355199E+01
  0.4990400000000000E-01  0.0000000000000000E+00  0.3425426815869874E+01
  0.5389600000000000E-01  0.0000000000000000E+00  0.3345284424439664E+01
  0.5788800000000000E-01  0.0000000000000000E+00  0.3267064410574468E+01
  0.6188000000000000E-01  0.0000000000000000E+00  0.3190717868490173E+01
  0.6587200000000000E-01  0.0000000000000000E+00  0.3116199526051896E+01
  0.6986400000000000E-01  0.0000000000000000E+00  0.3043469204168105E+01
  0.7385600000000000E-01  0.0000000000000000E+00  0.2972491015393857E+01
  0.7784800000000000E-01  0.0000000000000000E+00  0.2903231201021176E+01
  0.8184000000000000E-01  0.0000000000000000E+00  0.2835655825412635E+01
  0.8583200000000001E-01  0.0000000000000000E+00  0.2769729162505465E+01
  0.8982400000000000E-01  0.0000000000000000E+00  0.2705413060625730E+01
  0.9381600000000000E-01  0.0000000000000000E+00  0.2642667163323651E+01
  0.9780800000000001E-01  0.0000000000000000E+00  0.2581449674057060E+01
  0.1018000000000000E+00  0.0000000000000000E+00  0.2521718334934512E+01
  0.1057920000000000E+00  0.0000000000000000E+00  0.2463431364843331E+01
  0.1097840000000000E+00  0.0000000000000000E+00  0.2406548204643540E+01
  0.1137760000000000E+00  0.0000000000000000E+00  0.2351030008638894E+01
  0.1177680000000000E+00  0.0000000000000000E+00  0.2296839886868945E+01
  0.1217600000000000E+00  0.0000000000000000E+00  0.2243942940611367E+01
  0.1257520000000000E+00  0.0000000000000000E+00  0.2192306149163817E+01
  0.1297440000000000E+00  0.0000000000000000E+00  0.2141898166455242E+01
  0.1337360000000000E+00  0.0000000000000000E+00  0.2092689077768422E+01
  0.1377280000000000E+00  0.0000000000000000E+00  0.2044650154678846E+01
  0.1417200000000000E+00  0.0000000000000000E+00  0.1997753633632946E+01
  0.1457120000000000E+00  0.0000000000000000E+00  0.1951972532279927E+01
  0.1497040000000000E+00  0.0000000000000000E+00  0.1907280508737282E+01
  0.1536960000000000E+00  0.0000000000000000E+00  0.1863651762626892E+01
  0.1576880000000000E+00  0.0000000000000000E+00  0.1821060972755570E+01
  0.1616800000000000E+00  0.0000000000000000E+00  0.1779483264336115E+01
  0.1656720000000000E+00  0.0000000000000000E+00  0.1738894198131902E+01
  0.1696640000000000E+00  0.0000000000000000E+00  0.1699269774367510E+01
  0.1736560000000000E+00  0.0000000000000000E+00  0.1660586445284463E+01
  0.1776480000000000E+00  0.0000000000000000E+00  0.1622821131468153E+01
  0.1816400000000000E+00  0.0000000000000000E+00  0.1585951238427327E+01
  0.1856320000000000E+00  0.0000000000000000E+00  0.1549954670983565E+01
  0.1896240000000000E+00  0.0000000000000000E+00  0.1514809844121437E+01
  0.1936160000000000E+00  0.0000000000000000E+00  0.1480495689618207E+01
