      #xi_rho                     xi_z                     g1                      g12
  0.0000000000000000E+00  0.1933333333333000E+01  0.2447535186939584E-02  0.4564588173968342E-02
  0.0000000000000000E+00  0.2400000000000000E+01  0.2047884325879763E-02  0.3851232590368201E-02
  0.0000000000000000E+00  0.2866666666667000E+01  0.1727463961173859E-02  0.3291407271457604E-02
  0.0000000000000000E+00  0.3333333333333000E+01  0.1404462611605167E-02  0.2712260980515065E-02
  0.0000000000000000E+00  0.3800000000000000E+01  0.1106556006706977E-02  0.2160737378858415E-02
  0.0000000000000000E+00  0.4266666666667000E+01  0.8508746883211352E-03  0.1676091516982618E-02
  0.0000000000000000E+00  0.4733333333333000E+01  0.6408425934887994E-03  0.1271878513677466E-02
  0.0000000000000000E+00  0.5200000000000000E+01  0.4738148300464396E-03  0.9469012508452082E-03
  0.0000000000000000E+00  0.5666666666667000E+01  0.3447910493089932E-03  0.6934409897372527E-03
  0.0000000000000000E+00  0.6133333333333000E+01  0.2477090999737644E-03  0.5009671002304559E-03
  0.0000000000000000E+00  0.6600000000000000E+01  0.1762351292856024E-03  0.3580588488434661E-03
  0.0000000000000000E+00  0.7066666666667000E+01  0.1244582554986438E-03  0.2537887422270217E-03
  0.0000000000000000E+00  0.7533333333333000E+01  0.8735459706453340E-04  0.1786509842148278E-03
  0.0000000000000000E+00  0.8000000000000000E+01  0.6094972933262551E-04  0.1249624053323444E-03
  0.0000000000000000E+00  0.1000000000000000E+02  0.1197687038125186E-04  0.2483292397938693E-04
  0.0000000000000000E+00  0.1200000000000000E+02  0.1986538083935417E-05  0.4174860861034253E-05
  0.0000000000000000E+00  0.1400000000000000E+02  0.2794976659049363E-06  0.5952020301060033E-06
  0.0000000000000000E+00  0.1600000000000000E+02  0.3351029489421494E-07  0.7243347535990842E-07
  0.0000000000000000E+00  0.1800000000000000E+02  0.3355333197258994E-08  0.7387584308646306E-08
  0.0000000000000000E+00  0.2000000000000000E+02  0.2755044744515098E-09  0.6189170172589254E-09
  0.0000000000000000E+00  0.2200000000000000E+02  0.1861046173397301E-10  0.4254122184289152E-10
  0.0000000000000000E+00  0.2400000000000000E+02  0.1059654954100402E-11  0.2446805195665254E-11
  0.0000000000000000E+00  0.3000000000000000E+02  0.9107962078525597E-16  0.2088240152671429E-15
  0.0000000000000000E+00  0.3600000000000000E+02  0.2174344552820739E-20  0.5092441200597429E-20
  0.0000000000000000E+00  0.4200000000000000E+02  0.8835928884152615E-26  0.2186107120627460E-25
  0.0000000000000000E+00  0.4800000000000000E+02  0.5127461580460858E-32  0.1361908815475760E-31
  0.4761904800000000E-04 -0.4800000000000000E+02  0.5127461580146084E-32  0.1361908815392570E-31
  0.4761904800000000E-04 -0.4200000000000000E+02  0.8835928883609463E-26  0.2186107120493717E-25
  0.4761904800000000E-04 -0.3600000000000000E+02  0.2174344552685980E-20  0.5092441200282958E-20
  0.4761904800000000E-04 -0.3000000000000000E+02  0.9107962077934278E-16  0.2088240152535788E-15
  0.4761904800000000E-04 -0.2400000000000000E+02  0.1059654954022640E-11  0.2446805195486015E-11
  0.4761904800000000E-04 -0.2200000000000000E+02  0.1861046173254994E-10  0.4254122183965436E-10
  0.4761904800000000E-04 -0.2000000000000000E+02  0.2755044744296454E-09  0.6189170172101524E-09
  0.4761904800000000E-04 -0.1800000000000000E+02  0.3355333196982001E-08  0.7387584308041084E-08
  0.4761904800000000E-04 -0.1600000000000000E+02  0.3351029489129771E-07  0.7243347535364598E-07
  0.4761904800000000E-04 -0.1400000000000000E+02  0.2794976658786232E-06  0.5952020300502998E-06
  0.4761904800000000E-04 -0.1200000000000000E+02  0.1986538083727521E-05  0.4174860860600055E-05
  0.4761904800000000E-04 -0.1000000000000000E+02  0.1197687037982020E-04  0.2483292397643759E-04
  0.4761904800000000E-04 -0.8000000000000000E+01  0.6094972932374642E-04  0.1249624053142416E-03
  0.4761904800000000E-04 -0.7533333333333000E+01  0.8735459705098770E-04  0.1786509841872982E-03
  0.4761904800000000E-04 -0.7066666666667000E+01  0.1244582554779719E-03  0.2537887421851872E-03
  0.4761904800000000E-04 -0.6600000000000000E+01  0.1762351292540825E-03  0.3580588487800335E-03
  0.4761904800000000E-04 -0.6133333333333000E+01  0.2477090999258602E-03  0.5009671001347097E-03
  0.4761904800000000E-04 -0.5666666666667000E+01  0.3447910492366282E-03  0.6934409895937321E-03
  0.4761904800000000E-04 -0.5200000000000000E+01  0.4738148299379893E-03  0.9469012506318715E-03
  0.4761904800000000E-04 -0.4733333333333000E+01  0.6408425933275289E-03  0.1271878513362948E-02
  0.4761904800000000E-04 -0.4266666666667000E+01  0.8508746880826271E-03  0.1676091516522132E-02
